文章,发表年份,主题词
智慧升级人工智能助力医院跨越式发展.pdf,2019,"['智慧医疗', '人工智能', '医院信息化', '医疗产业转型升级', '智慧医疗助力医疗场景优化', '最多跑一次改革', 'Watson技术', '互联网+医疗健康', '智慧医院建设']"
浪潮网络：智慧医院网络系统为医院业务运转保驾护航.pdf,2021,"['智慧医疗', 'AI', '5G', '大数据', '网络建设', '医院业务', '浪潮网络', '镇江市第一人民医院', '数字化医院', '网络系统', 'IT系统', '数据中心', '智慧医院', '医疗健康', '远程医疗', '医疗机构', '数字化转型']"
解放军总医院智慧医院建设初探.pdf,2013,"['智慧医院', '智慧地球', '物联网', '医院信息化']"
苏北人民医院：智慧赋能助力医疗服务质效提升.pdf,2023,"['智慧医院建设', '医疗服务能力提升', '患者满意度', '信息化建设', '手术协同管理', '医疗质量控制', '智能分析', '系统性管理']"
医院智慧后勤“样板间”建设探索与研究.pdf,2024,"['智慧医院', '后勤管理', '建设标准', '一站式服务']"
一种医院智慧护理数据平台设计.pdf,2022,"['智慧护理', '护理技术', '护理信息系统', '护理安全', '护理质量', '智慧护理数据平台', '护理数据标准', '数据安全保障', '移动护理信息系统', '护理文书系统', '护理管理信息系统', '数据交换平台', '数据总线平台', '护理数据综合展示平台', '护理数据管理平台', '智慧护理数据安全保障']"
智慧医疗让就医更便捷.pdf,2023,"['人工智能', '机器学习', '深度学习', '算法', '数据分析']"
天津市智慧医院建设问题研究.pdf,2022,
医疗大数据助力智慧医院管理的SWOT分析.pdf,2018,"['医疗', '大数据', '智慧医院', 'SWOT']"
公立医院智慧财务系统建设探究.pdf,2024,"['公立医院', '智慧财务系统', '外部需求', '内部需求']"
医院供水管网系统信息化改造研究——以天津市肿瘤医院综合水系统智慧平台为例.pdf,2023,"['医院', '供水管网系统', '综合水系统', '智慧平台']"
信息化建设助力公立医院内控管理——以上海市TJ医院为例.pdf,2022,"['财务管理', '内部控制', '信息化建设', '业财融合', '预算管理', '采购管理', '合同管理', '风险控制', '智慧医院']"
智慧财务电子会计档案应用探索——以R医院为例.pdf,2022,"['电子会计档案', '会计档案管理', '智慧财务', '公立医院', '电子化', '降本增效', '业财融合', '信息技术', '档案电子化', '医院运营管理']"
西部地区智慧工地构建的关键因素研究——以西部某地区中医医院门急诊综合楼项目为例.pdf,2023,"['智慧工地', '智能化', '信息技术']"
基于安消一体化的医院智慧消防建设研究.pdf,2023,"['医院', '智慧消防', '安消一体化']"
从远程医疗到互联网+人工智能（AI）医疗看医疗数字化的演进.pdf,2022,"['远程医疗', '人工智能', '智慧医院']"
智慧医院管理背景下的医院信息化建设研究.pdf,2021,"['互联网+智慧医疗', '医院信息化建设', '信息化平台框架']"
医院电力系统的数字化运维改进探讨——以华山医院为例_沈全斌.pdf,2023,"['医院', '电力系统', '数字化', '运维', '数字孪生']"
智慧财务信息化下公立医院财务工作优化研究.pdf,2023,"['智慧财务信息化', '公立医院', '财务管理']"
基于医疗设备全生命周期的智慧医院平台建设实践.pdf,2023,"['医疗设备', '智慧后勤', '互联网', '物联网', '精细化管理', '高质量发展']"
建筑信息模型BIM在医院智慧管理系统中的应用.pdf,2023,"['智慧医院', '信息化运作', 'BIM数据', '系统规划']"
山区医院的“大智慧”.pdf,2016,"['信息化建设', '自助医疗服务', '移动医疗', '远程医疗', '智能医院', '数据管理']"
关于医院后勤智慧运维的思考.pdf,2019,"['后勤运维', '后勤运维平台', '运维管家', '专业化', '社会化']"
坚持问题导向探索“智慧式”研究型医院发展战略.pdf,2014,
公立医院智慧财务管理建设实施路径探讨.pdf,2021,"['公立医院', '智慧财务', '管理', '建设', '路径']"
长海医院云影像智慧医疗数据平台正式上线.pdf,2019,"['心血管', '降尿酸药物', '别嘌醇', '利尿剂', 'β受体阻滞剂', '阿司匹林', '替格瑞洛', '氯沙坦', '缬沙坦', '非诺贝特', '阿托伐他汀', '心衰', '高尿酸血症']"
智慧医院背景下医院科研信息管理系统建设探索与实践.pdf,2021,"['智慧医院', '科研信息管理系统', '数据挖掘', '辅助决策', '科研管理', '信息化', '科研成果', '科研经费', '科研项目', '科研绩效']"
基于“互联网+”智慧医疗的医院信息化平台建设与应用研究.pdf,2020,"['OTN技术', '铁路通信', '波道分配', '骨干层通信网', '智慧医疗', '信息化平台', '互联网+']"
物联网技术在某智慧医院的设计与应用.pdf,2021,"['智能建筑电气技术', '物联网技术', '智慧医院', '医疗健康物联网', '顶层设计', '医疗设备能效管理系统']"
物联网技术在医学工程中的研究概述.pdf,2023,"['医疗物联网', '远程监测', '胶囊内窥镜', '智慧医院']"
基于冗余电源技术的病区弱电间供配电改造实践.pdf,2024,"['智慧医院', '数字医院', '弱电间', '供电系统', '改造']"
智慧监管筑牢安全堡垒中建三局武汉市中心医院杨春湖院区项目安全管理.pdf,2023,"['智慧监管', '安全生产', '智慧门禁系统', '安全管理', '5G塔吊', '防高坠']"
坚持“两心”战略深化“八大体系”建设——咸阳市中心医院高质量发展实现路径的探索.pdf,2021,"['三级甲等综合医院', '以患者为中心', '以员工为核心', '八大体系建设', '现代医院管理制度', '医疗服务技术水平', '患者就医体验', '党建引领', '制度建设', '质量建设', '品牌建设', '人才建设', '医联体建设', '信息化建设', '后勤建设']"
我国将加快智慧医院建设.pdf,2019,"['预防接种', '星级门诊创建', '人力资源配置', '工作效率', '服务质量', '免疫规划']"
焦雅辉_我国医疗服务正处在从“信息化”向“智慧化”过渡的关键阶段.pdf,2019,"['智慧医院', '信息化', '智慧化', '互联网+医疗健康', '电子病历', '智慧服务', '智慧管理', '远程医疗', '医疗质量', '医疗效率', '医疗资源配置', '医疗服务']"
掌上智慧医院系统设计与管理.pdf,2023,"['掌上智慧医院', '就医管理', 'Java']"
医院智慧后勤管理平台实践与思考.pdf,2024,"['医院', '后勤系统', '智慧后勤管理平台', '建设方案']"
智慧医院移动端综合支付平台的构建与应用.pdf,2019,"['移动端综合支付平台', '智慧医院', '构建', '应用']"
价值链视角下的公立医院精益运营研究.pdf,2023,"['价值链', '公立医院', '精益运营']"
无线定位技术在智慧城市中的应用探讨.pdf,2013,"['无线定位', '智慧城市', '智慧医院', '智慧交通', '智慧物流', '智慧宾馆']"
妇幼保健院智慧后勤管理体系设计.pdf,2022,"['妇幼保健院', '智慧后勤', '一站式服务', '综合管理平台']"
无线组网技术在医院环境监测中的设计与应用.pdf,2017,"['ZigBee', '传感网络', '智慧医院']"
智慧医院智能化系统的设计应用.pdf,2017,"['智慧医院', '智慧医疗', '物联网技术', '资源共享', '互联互通', '统一视频服务平台']"
常态化疫情防控背景下医院电子陪护证的开发与应用.pdf,2022,"['医院信息系统', '医院管理', '医院电子陪护证', '新型冠状病毒肺炎', '预防与控制', '医疗陪伴者', '人员管理', '数据管理']"
医院后勤设备全过程标准化管理制度体系构建研究——基于湖北省4家医院后勤工作者深度访谈的NVivo分析.pdf,2024,"['医院后勤', '后勤设备', '全过程管理', '标准化管理', '体系构建']"
基于智慧医院的医院预算管理控制分析.pdf,2023,"['智慧医院', '医院预算管理', '信息化技术', '成本控制', '预算编制', '预算执行', '预算监督', '预算组织架构', '全面预算管理体系', '移动支出审批控制系统', '预算管理软件开发', '一体化预算管理及成本核算平台']"
简述磴口县蒙中医医院智能综合管控平台.pdf,2019,"['TVOS', '智慧医院', 'B/S构架', '视频点播', 'EDFA']"
面向人居健康的医疗建筑设计趋势及启示.pdf,2023,"['医疗建筑', '建筑设计', '健康人居', '未来']"
G医院智慧停车生态的设计与实践.pdf,2019,"['智慧停车', '生态系统', '车辆引导', '智能寻车']"
论集团性医院组织架构设计在医院智慧管理建设中的重要性.pdf,2021,"['组织架构', '医院智慧管理', '互联互通', 'HRP系统']"
智慧医院建设之医疗废物智能管控方案.pdf,2022,"['智慧医院', '医疗废物', '智能管控', '新冠疫情', '信息化']"
推进医院结算智慧服务应用及效果评价.pdf,2024,"['医院窗口结算', '智慧服务', '科室管理']"
基于医院大数据建设的智慧管理平台实践.pdf,2022,"['大数据', '智慧医院', '智慧管理']"
智慧医院建设标准体系研究及实施策略.pdf,2020,"['智慧医院', '建设标准', '研究现状', '框架', '策略与建议']"
智慧医院信息备份的研究与应用.pdf,2020,"['网络安全技术', '抗菌药物管理', '信息技术应用', '智慧医院', '信息备份', '数据安全', '人工智能', '精准医疗', '临床科研']"
智慧护理助力“三位一体”的智慧医院建设的探索.pdf,2024,"['智慧护理', '知识体系', '规则引擎']"
平行医院从医院信息管理系统到智慧医院操作系统.pdf,2021,"['平行医院', '智慧医院', '数字医院', '智能化管理', '智能化培训']"
“互联网+”模式下智慧医院服务可及性研究.pdf,2020,
浅谈公立医院智慧财务管理建设实施路径_1.pdf,2020,"['公立医院', '智慧财务管理', '建设路径', '互联网信息技术', '财务风险管理', '财务信息化管理', '业财融合', '边际效应', '增量理念', '数据平台', '虚拟融合', '智能化财务运作']"
医院智慧药事服务新模式构建与应用.pdf,2024,"['数字化转型', '数字健康', '信息化', '药事服务转型', '高质量发展']"
智慧财务下医院财务管理转型剖析.pdf,2021,"['医院', '智慧财务', '财务管理', '模式转型']"
肺癌诊疗中心的管理实践与思考.pdf,2022,"['多学科诊疗', '肺癌', '诊疗中心']"
方舱医院：用中国智慧撑起“生命之舟”.pdf,2020,"['方舱医院', '新冠肺炎', '武汉', '疫情防控', '医疗资源', '生命方舟', '救治', '公共卫生事件']"
厦门大学附属第一医院互联网医院发展策略与效果探析.pdf,2021,"['医院智慧服务', '互联网医院', '评估标准体系', '发展规划']"
深化管理会计应用的公立医院智慧财经系统建设实践研究.pdf,2021,"['管理会计', '公立医院', '系统建设', '智慧财经系统', '数字化转型']"
浅谈物联网技术在医院信息化建设中的应用.pdf,2013,"['物联网', '医疗信息化', 'RFID', '无线传感器网络', '智慧医院']"
疫情防控常态化下人员流向智慧管控系统在医院人员流动管控中的应用及展望.pdf,2021,
医院智慧服务背景下的医技检查流程优化.pdf,2020,"['智慧服务', '预约检查', '呼叫系统']"
谈智慧医疗对医院节能减排的作用.pdf,2014,"['智慧医疗', '经营管理', '节能减排']"
基于智慧能源管理的医院节能措施分析.pdf,2023,"['智慧医院', '综合智能楼宇', '精细化管理', '节能减排', '光伏发电']"
重庆市某三甲医院门诊身份识别智慧防控体系的构建与实施效果.pdf,2020,"['三甲医院', '医疗安全', '智慧防控体系', '身份识别']"
基于物联网技术的人员资产定位系统设计.pdf,2019,"['物联网', '智慧医院', '人员资产定位']"
智慧物流传输系统影响下的医院空间形态初探.pdf,2023,"['医院建筑设计', '智慧物流', '传输系统', '智慧医院', '建筑空间', '空间形态']"
基于5G技术的“互联网+”智慧型骨科专科医院的探索和搭建.pdf,2020,"['5G技术', '互联网+', '智慧型骨科专科医院', '医院管理', '骨与关节疾病', '智慧医疗', '远程健康医疗', '医疗资源共享', '医疗效率', '医疗服务体验']"
面向语义异构的健康医疗数据集成模型研究.pdf,2020,
医院设备监测系统在医院智慧管理中的应用.pdf,2023,"['医院设备', '监测系统', '智慧管理', '人工智能物联网', '主成分分析']"
基于互联网的智慧医院建设分析.pdf,2020,"['互联网技术', '信息工程', '智慧医院', '流程优化']"
10秒就能配药诸暨这家医院打造“智慧药房”.pdf,2011,"['黑龙江', '肌无力', '北漂', '写书', '生命从明天开始', '曼曼心灵热线', '智慧药房', '自动发药机']"
基于无线射频识别技术的医院血液库存智慧化管理模式探索.pdf,2023,"['无线射频识别技术', '医院', '血液', '库存管理', '智慧化', '血液质量']"
智慧医疗导向的医院门诊流程优化研究.pdf,2017,
基于物联网的智慧病房的构建与应用.pdf,2020,"['智慧病房', '物联网', '互联互通', '信息化']"
人工智能专家系统在医院麻醉教学中的应用_邬春兰.pdf,2021,"['人工智能', '专家系统', '医院', '麻醉教学']"
智慧审计在医院内部审计工作中的应用研究.pdf,2023,"['公立医院', '内部审计', '智慧审计']"
智慧财务下公立医院财务管理的问题研究.pdf,2022,"['智慧财务', '公立医院', '财务管理']"
医院智慧型信息化战略探析_1.pdf,2015,"['医院', '智慧型', '信息化', '战略']"
中、美智慧健康系统对比研究.pdf,2016,"['智慧健康系统', '结构', '功能', '服务模式', '中美对比', '智能技术', '医疗健康结合']"
基于5G技术的现代互联网智慧医院建设研究——以四川大学华西第二医院为例.pdf,2020,"['智慧型医院', '5G医疗', '互联网+医疗', '现代化医院']"
“互联网+”背景下的智慧医院文化建设系统构成及要素研究.pdf,2019,"['互联网+', '智慧医院', '文化建设', '以人为本']"
四川移动携手四川省第四人民医院打造5G智慧医院.pdf,2019,"['5G网络', '智慧医疗', '远程会诊', 'VR远程超声', '5G导诊机器人', '5G+AR远程针灸', '5G智慧医院应用']"
基于医院智慧平台的物资预算管控改造及应用.pdf,2020,"['预算管控', '物资管理系统', '智慧平台', '精细化管理']"
智慧医院建设与规划研究.pdf,2021,"['智慧医院', '建设规划', '数字化转型平台']"
招行昆明分行携手省中医院共创移动互联中医院.pdf,2014,"['移动智慧医院', '互联网+', '智慧医疗', '便民惠民', '金融服务', '创新就医服务']"
信息化.pdf,2020,"['药监局新规', '受试者保护', '不合格药品', '阳光采购', '药品阳光采购', '英法药业集团', '新冠病毒疫苗', '劳动模范', '线上模拟比赛', '5G智慧医院', '互联智慧健康服务院', '互联网+医疗', '微医流动医院', '5G救护车', '信息化', '药械']"
智慧财务下医院财务管理转型的研究.pdf,2020,"['智慧财务', '医院', '财务管理', '转型策略']"
智慧财务——构建高效医院集团化管理一盘棋.pdf,2020,"['智慧财务', '医院集团化管理', '财务管理信息化', '预算管理', '资产管理', '成本核算', '政府会计制度', '内控管理', '智慧医院']"
智慧管理背景下的公立医院医疗收入核算浅析——以体检收入为例.pdf,2023,"['公立医院', '会计核算', '医院智慧管理', '财务审计', '医疗收入', '信息化建设', '智慧管理信息系统', '权责发生制', '财务资产', '业务项目', '分级评估标准体系', '财务信息化', '业财融合', '固定资产管理', '信息化平台', '高质量发展', '精细化管理', '决策信息', '体检收入', '财务数据传输', '会计凭证', '医疗费用', '收支渠道', '对账逻辑', '财务报表', '业务流程', '财务状况', '管理意义']"
智慧医院医疗设备全生命周期管理系统构建与评价研究_吴平凤.pdf,2023,"['智慧医院', '医疗设备', '全生命周期管理', '射频识别技术', '运行效率', '运行成本', '用户体验']"
COVID-19疫情背景下的医院人工智能快速布局和发展战略探讨.pdf,2020,"['医院建设', '新型冠状病毒肺炎', '人工智能', '应用现状', '发展方向']"
基于上海医养结合“互联网+智慧医疗”模式研究.pdf,2020,"['互联网+智慧医疗', 'AHP层次分析法', '模糊综合评价', '大数据']"
大数据在智慧医院建设中的应用实践.pdf,2020,"['大数据', '智慧医院', '医院信息化', '人工智能']"
同济医院“业财管税档”一体化下智慧报销实践_王茜.pdf,2023,"['业财管税档一体化', '公立医院', '智慧报销', '业财融合']"
智慧医院建设背景下医院网络安全闭环管理模式研究_李宽省.pdf,2024,"['智慧医院', '网络安全', '闭环管理']"
基于BIM信息化模型的“智慧后勤”——华山医院老院区后勤信息化管理中心的改造更新实践.pdf,2022,"['BIM 信息化模型', '智慧后勤', '华山医院', '既有改造']"
关于构建公立医院智慧医疗服务平台的分析_叶焕然.pdf,2023,"['智慧医疗', '公立医院', '服务平台', '医疗云服务', '数字化系统', '医疗资源整合', '人工智能', '物联网技术', '云计算', '医疗信息化']"
基于集成平台的智慧医院建设实践.pdf,2021,"['智慧医院', '互联互通集成平台', '5R模型']"
物联网技术在智慧医院建设中的应用_周晨露.pdf,2023,"['物联网', '智慧医院', '医院信息化']"
英特尔_当移动医疗遇上分级诊疗.pdf,2016,"['医疗创新', '分级诊疗', '移动医疗', '智慧医院', '互联网+医疗', '信息化建设', '英特尔技术', '医疗联合体', '健康管理', '可穿戴设备']"
基于改善患者就医体验的智慧医院建设实践.pdf,2018,"['信息化', '智慧医院', '就医体验']"
基于医院智慧管理分级的财务管理策略研究.pdf,2021,"['医院智慧管理', '财务管理策略', '预算管理', '资产财务管理', '智慧医院建设', '分级评估标准体系', '医疗收入管理', '财务会计', '智慧财务', '业财融合', '内部控制', '数据共享', '智能互联']"
基于数字孪生的医院建筑机电系统智慧运维管理.pdf,2023,"['数字孪生', '智慧运维', '医院建筑', '机电系统']"
医院大数据集成与服务平台的建设与应用.pdf,2022,"['医院大数据', '集成平台', '智慧医院', '电子病历', '互联互通']"
改善患者就医体验背景下的智慧医院建设实践探究.pdf,2020,"['智慧医院', '就医体验', '基础设施']"
基于数智立体化体系的医院高质量发展路径探析.pdf,2023,"['数智立体化体系', '医院高质量发展', '数字化医院', '智慧医院', '数据治理', '医疗信息化', '智慧医疗', '数字化转型']"
基于医疗流程信息化再造的卫生服务模式设计.pdf,2017,"['医疗信息化', '流程再造', '卫生服务模式']"
云影像技术在医院诊疗中的应用.pdf,2021,"['计算机工程', '智慧医院', '云影像技术']"
疫情防控下智慧医院建设的实践探索.pdf,2020,"['科技抗疫', '智慧医院', '信息支撑', '非接触式诊疗']"
Q公立医院智慧财务信息系统的创建思路.pdf,2021,"['智慧财务信息系统', '公立医院', '财务管理', '业务数据', '全面预算管理', '数据共享', '业财融合', '管理会计报表', '绩效考核']"
本期专论导读.pdf,2016,"['智慧医疗', '信息技术', '医疗改革', '智慧城市', '人工智能', '传感技术', '医疗服务']"
医院智慧后勤综合管理平台的构建与应用.pdf,2021,"['智慧后勤综合管理平台', '平台构建', '平台应用']"
基于人工智能的医院信息系统集成与性能优化_彭德梅.pdf,2023,"['人工智能', '医院信息系统', '性能优化', '深度学习', '分布式计算']"
“互联网+”医院—社区—家庭智慧护理服务模式在脑卒中偏瘫患者中的应用.pdf,2023,"['互联网＋', '智慧护理服务模式', '脑卒中偏瘫', '康复依从性', '自我护理能力', '生活质量']"
一项基于中国医院智慧药房建设现状的横断面研究.pdf,2022,"['智慧药房', '横断面研究', '发展现状']"
施耐德电气助力上海浦东公利医院打造信息化智慧医院.pdf,2013,"['施耐德电气', '智慧医院', '数据中心', '热量管理', '生命周期评价', '铝合金电缆']"
现代医院改革如何走？速来围观这场“头脑风暴”!.pdf,2019,"['泛珠三角医院管理大会', '现代医院改革', '医改新形势', '医院绩效管理', '智慧医院建设', '深化医改强基层', '分级诊疗', '医疗资源共享', '现代医院管理制度', '互联网+医疗健康', '精细化管理', '绩效考核', '5G智慧医院']"
施耐德电气赋能复旦大学附属华山医院北院构建“明日智慧医院”.pdf,2018,
智慧医院背景下信息系统上“云”的探讨和实践.pdf,2023,"['智慧医院', '信息安全', '影像云', '信息系统']"
智慧养老理念下医养结合型医院室内空间设计策略研究_葛欣羽.pdf,2023,"['气候变化', '环境保护', '可持续发展']"
"2017,创新变革促升级——勤好远程质控引领智慧医院健康发展.pdf",2017,"['勤好远程质控系统', '智慧医院', '物业管理', '互联网+', '技术创新', '转型升级']"
医院绩效及运营管理信息化发展现状分析.pdf,2021,"['医院', '绩效管理', '运营管理', '信息化']"
基于人工智能的医院咨询服务模式的构建与实践_何艺媛.pdf,2022,"['人工智能', '咨询服务', '模式', '实践']"
智慧医院门诊公共空间浅析.pdf,2021,"['智慧化技术', '医院建设', '医疗建筑管理', '医疗建筑设计', '智慧医疗', '患者行为流线', '医院空间模式', '智慧药房', '移动医疗', '智能化服务设备']"
基于eNSP的医院IPv4网络向IPv6网络过渡技术仿真模拟.pdf,2021,"['IPv6', '过渡技术', 'eNSP软件', '双协议栈', 'IPv6 over IPv4手工隧道']"
基于互联网背景下的医院档案信息化安全管理实践探索.pdf,2023,"['医院档案信息化', '安全管理', '智慧医院', '数据安全', '网络安全']"
基于微服务架构体系的医院一体化治疗平台设计与实践.pdf,2022,"['微服务', '一体化治疗平台', '电子病历', '智慧服务']"
智慧医院建设中智能云影像系统的设计与实现.pdf,2021,"['智慧医疗', '智慧医院', '医学影像信息系统', '云平台', '互联网医疗']"
床旁医学影像在智慧医疗背景下的设计案例分析.pdf,2023,"['智慧医院', '智慧医疗', '医疗场景智能化', '医学影像', '智慧医疗器械', '智慧医疗生态']"
第六师医院项目智能化系统设计.pdf,2022,"['智慧医院', '远程医疗', '信息设施系统', '建筑设备管理系统']"
多接入边缘计算在医疗行业中的应用.pdf,2021,"['边缘计算', '智慧医院', '网络能力', '5G', '医疗行业']"
医院SPD智慧供应链项目实施效果.pdf,2023,"['医院', 'SPD智慧供应链项目', '实施效果']"
某三级综合医院信息化建设实践.pdf,2019,"['信息化建设', '信息共享', '医院信息系统']"
常态化疫情防控下入院流程的创新与实践.pdf,2023,"['智慧医院', '疫情防控', '入院流程']"
以智慧医院建设为抓手提升医院科学管理水平——访北京大学深圳医院院长陈芸.pdf,2023,"['智慧医院建设', '现代医院管理制度', '公立医院高质量发展', '医院科学管理水平', '智慧医疗', '智慧服务', '智慧管理', '医院信息化', '医疗质量管理', '医院绩效考核']"
以人才智慧推进医院信息化建设.pdf,2015,"['医疗信息化', '人才智慧', '医院信息化建设', 'IT服务管理', '精细化管理', '绩效管理系统', '数字化医院', '远程医疗', '分级医疗', '第三方合作']"
应用大数据进行智慧医院的管理研究.pdf,2022,"['大数据', '智慧医院', '管理对策']"
基于深度学习的X线摄影图像辅助筛检算法实验分析.pdf,2020,"['人工智能', '放射摄影', '自动筛查', '人机融合诊疗', '智慧医疗']"
智慧医院后勤智能化综合管理平台构建与应用展望.pdf,2020,"['医院信息化', '智慧医院', '后勤智能化', '医院后勤管理']"
中国移动六大项目入选云南首届5G创新应用10大案例.pdf,2020,"['5G', '创新应用', '中国移动', '智慧物流', '智慧医院', '全域旅游', '经济发展', '产业']"
数字时代公立医院财务智能化系统建设研究.pdf,2022,"['公立医院', '财务智能化', '信息系统建设', '应用框架', '四算合一']"
三甲专科医院智慧门诊优化实践与思考.pdf,2019,"['互联网+医疗健康', '智慧门诊', '人工智能', '精准预约', '人脸识别', '智能问答', '用药指导', '互联网医院']"
大型医院信息化建设规划研究.pdf,2013,"['医院信息化', '数字化医院', '管理']"
国家卫生健康委办公厅印发医院智慧管理分级评估标准体系(试行).pdf,2021,"['医院智慧管理', '分级评估标准体系', '智慧医院建设', '网络安全', '数据保护', '互联网+医疗健康', '医药电商']"
"自媒体时代,医院如何运营微信平台打造智慧医院.pdf",2016,"['自媒体时代', '医院', '微信平台', '智慧医院', '移动医疗', '互动参与性', '宣传成本', '简化就医流程', '智慧医疗', '数据资源管理']"
党建立根筑牢现代医院发展的生命线.pdf,2020,"['党建', '现代医院管理', '公立医院改革', '智慧医院', '人才培养']"
互联网时代公立医院的智慧财务建设与发展分析.pdf,2021,"['互联网时代', '公立医院', '智慧财务建设', '发展前景']"
基于信息集成的数字化智慧医院建设方案.pdf,2022,"['Roma', '系统集成', '智慧医院', '建设方案']"
公立医院智慧门诊一体化服务平台的探索与实践.pdf,2023,"['智慧门诊', '流程优化', '公立医院']"
基于智慧医院的日间手术管理的研究.pdf,2021,
智能时代医院信息化建设的策略探究.pdf,2020,"['智能时代', '医院', '信息化建设', '重要性', '策略']"
基于约束理论的智慧门诊就医服务研究与实践——以A医院为例.pdf,2018,"['约束理论', '自助机', '智慧门诊', '就医服务']"
基于物联网的智慧医院监控与报警系统安装与调试.pdf,2023,"['物联网', '智慧医院', '报警系统', '监控系统']"
山东省平阴县人民医院_打造区域共享一体化智慧诊疗模式.pdf,2023,"['人工智能', '机器学习', '深度学习', '数据分析', '算法']"
医院智慧云导诊平台的构建与应用研究.pdf,2022,"['智慧云导诊', '就医体验', '就诊停留时间']"
高质量发展背景下医院图书馆智慧服务研究.pdf,2024,"['智慧图书馆', '医院图书馆', '高质量发展', '智慧服务', '要素说']"
美的LIFE流构建智慧医院有机生命体.pdf,2021,"['智慧医院', '美的LIFE流', '医院运营管理', '智慧医疗产业', '楼宇科技']"
“互联网+”医院-社区-家庭伤口造口智慧护理服务模式的构建.pdf,2019,"['互联网+', '医院-社区-家庭', '伤口造口患者', '延续性护理', '医联体', '智慧护理服务模式', '分级诊疗', '医疗资源整合', '就医成本', '健康教育']"
智慧服务视角下专科医院通过信息化提升就医体验的实践与思考.pdf,2019,"['智慧服务', '专科医院', '就医体验', '信息化建设', '医疗服务质量', '数据安全']"
基于5G技术的智慧病房建设探讨.pdf,2021,"['5G技术', '智慧病房', '智慧医院', '智慧医疗', '远程医疗']"
智慧医院精准聚焦就医难题.pdf,2022,"['智慧医院建设', '政策诉求', '医疗服务', '互联网医疗', '老年友善医院', '数字化技术', '预约就诊', '线上缴费', '志愿者服务', '互联网医院']"
县医院护士参与“智慧医养结合服务”意愿与期待的质性研究.pdf,2022,"['县医院', '护士', '农村', '智慧医养结合', '认知', '期待']"
医院智慧财务的业务中台架构建设浅析.pdf,2022,"['智慧财务', '医院信息化', '大智移云', '财务管理', '业务中台', '数字化转型', '数据集成', '财务智能化', '业财一体化']"
整合医学模式在肿瘤专科医院管理中的应用实践.pdf,2021,"['整合医学', '肿瘤专科', '医院管理']"
公立医院智慧门诊的建立.pdf,2021,"['智慧门诊', '公立医院', '信息化']"
全国首个5G智慧医院落户上海.pdf,2020,"['医疗健康信息互联互通', '标准化成熟度测评', '电子健康档案', '区域全民健康信息平台', '电子病历', '医院信息平台', '互联网医疗服务', '医保报销', '5G智慧医院', '互联网诊疗范围']"
如何打造智慧医院？百年协和给出答案.pdf,2021,"['智慧医院', '远程医疗', '互联网+医疗', '互联网医院', '信息化']"
导医系统在儿童医院的深化设计及智慧应用.pdf,2017,"['导医系统', '集成平台', '互联网', '智慧应用']"
基于AON+SDN技术构建智慧医院以太全光网络的实践与思考.pdf,2022,"['智慧医院', '以太全光网络', 'AON技术', 'SDN技术']"
探索“三位一体”智慧医院建设.pdf,2022,"['智慧医院', '三位一体', '互联网医疗', '电子病历', '智慧服务', '智慧管理', '互联网诊疗', '公立医院', '医疗信息化', '临床服务管理']"
公立医院智慧财务报销系统建设的探索与研究.pdf,2022,"['智慧财务报销系统', '公立医院', '财务管理', '信息化建设', '报销流程优化', '预算管理', '内部控制', '财务效率', '报销制度', '网络安全']"
达实信息应邀出席成都新技术新产品研讨会.pdf,2017,"['智慧医院', '一卡通解决方案', '安防智能化', '医疗信息化建设', '智慧城市', '绿色建造', '建筑电气智能化', '能耗管控系统']"
基于OPM3模型的智慧医院建设全过程工程咨询模式研究.pdf,2022,"['OPM3模型', '智慧医院建设', '全过程工程咨询模式']"
基于真实世界人工智能分析的...服液治疗脑卒中的回顾性研究_李倩.pdf,2022,"['脑血疏口服液', '脑卒中', '人工智能', '关联规则分析', '用药模型']"
基于“互联网+”模式下的智慧型医院构建探析.pdf,2018,"['互联网+', '智慧医院', '大数据', '医患关系']"
公立医院的智慧营利与非营利的正确选择.pdf,2013,"['公立医院', '营利与非营利分开', '医院改革', '医疗费用', '医院经营管理', '医疗市场', '医院评审', '医患关系']"
深大附属华南医院智慧后勤建设实践探索.pdf,2023,"['后勤信息化建设', '精细化', '智能化', '数字化']"
发展重症医学的市县医院智慧.pdf,2020,"['重症医学', '市县医院', '医疗资源下沉', '公共卫生事件', '应急救治能力', '医疗资源均等化', '新冠肺炎', '三级医院', '重症救治', '分级诊疗']"
从政策推动到研究产出——浅...导人工智能研究的技术性挑战_庄昱.pdf,2023,"['人工智能', '医院主导', '多模态数据', '协调员']"
智慧医院建设视角下三级综合医院中医妇科发展优化策略.pdf,2021,"['智慧医院', '中医妇科', '综合医院', '发展']"
联想或联手BAT推“互联网+医疗”创新金融服务助医院.pdf,2015,"['药品医疗器械飞行检查', '食品药品监管', '医疗器械临床试验备案', '互联网+医疗', '智慧医院', '医疗信息化', '医疗设备']"
84家口腔专科医院智慧服务系统现状调查.pdf,2022,"['口腔医院', '智慧服务', '信息系统']"
基于大数据的智慧护理系统建设初探.pdf,2017,"['护理信息化', '智慧护理', '大数据', '个性化电子健康档案', '智慧医疗']"
